2024-08-15 20:05:25: -- Analysis Started by User Command
2024-08-15 20:05:25: L: Reading State File D:/public_html/_gsdata_/_file_state_v4._gs
2024-08-15 20:05:25: L: Reading State File D:/public_html/files/advbook and merge it with the root state
2024-08-15 20:05:25: R: Reading State File D:/gitrepo/srsarangi.github.io/_gsdata_/_file_state_v4._gs
2024-08-15 20:05:25: R: State file does not exist: D:/gitrepo/srsarangi.github.io/_gsdata_/_file_state_v4._gs
2024-08-15 20:05:25: /advbook/book.css: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/chapters/advanced-pipelines.pdf: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/chapters/appendices.pdf: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/chapters/bibliography.pdf: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/chapters/caches.pdf: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/chapters/fetch-decode.pdf: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/chapters/gpus.pdf: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/chapters/intro.pdf: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/chapters/issue-execute-commit.pdf: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/chapters/main-memory.pdf: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/chapters/ml-archs.pdf: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/chapters/multiprocessors.pdf: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/chapters/noc.pdf: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/chapters/ooo-pipelines.pdf: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/chapters/power-temperature.pdf: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/chapters/reliability.pdf: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/chapters/secure-archs.pdf: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/files/class-notes-oct14.pdf: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/files/osnotes.pdf: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/images/arrow.png: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/images/cover-small.jpg: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/images/cover.png: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/images/download.jpg: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/images/downloadbook.png: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/images/feedback.png: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/images/frontcover.png: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/images/groups.png: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/images/new-cover-small.jpg: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/images/youtube.png: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/index.html: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/lectures/Caches.pptx: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/lectures/coherence.pptx: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/lectures/consistency.pptx: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/lectures/dataprefetch.pptx: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/lectures/flow.ppt: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/lectures/OOO-II.pptx: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/lectures/OOO-III.pptx: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/lectures/OOOpipelines.pptx: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/lectures/prefetching.pptx: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/lectures/router-microarch.ppt: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/lectures/trans-memory-pres-sarangi-iit-delhi.pptx: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/lectures/trans-memory.pptx: Warning: Older file to replace Newer file
2024-08-15 20:05:25: /advbook/nextgen-comp-arch.pdf: Warning: Older file to replace Newer file
